state,raw_count,is_job_count,is_traffic_count,is_weather_count,job_prop,traffic_prop,weather_prop
California,513542,58953,16107,7724,0.11479684232253642,0.03136452325223643,0.015040639324534312
New York,402590,34922,72295,4047,0.08674333689361385,0.1795747534712735,0.010052410641098885
Texas,319349,42219,43630,3964,0.13220332614161937,0.13662168975008532,0.01241275219274211
Florida,262378,47174,3729,5655,0.1797940376098606,0.014212319630456821,0.02155287409767587
Ohio,168660,40439,11237,2172,0.2397663939286138,0.06662516304992293,0.01287797936677339
Pennsylvania,167587,33026,14728,4505,0.19706779165448393,0.08788271166617936,0.026881560025538973
North Carolina,156288,42642,3533,4483,0.27284244471744473,0.022605702293202294,0.028684223996723997
New Jersey,153525,21969,32136,1440,0.1430972154372252,0.2093209574987787,0.009379579872984855
Virginia,152451,65330,11850,3510,0.4285311345940663,0.07772989353956353,0.023023791250959325
Georgia,131516,23640,6596,1091,0.1797499923963624,0.05015359347912041,0.008295568600018248
Illinois,128234,26788,2455,2078,0.2088993558650592,0.01914468861612365,0.01620475069014458
Washington,123040,32547,28883,1177,0.26452373211963587,0.23474479843953186,0.009565994798439531
Massachusetts,115117,29698,56,1259,0.2579810106239739,0.00048646159993745496,0.01093669918430814
Maryland,114874,29404,4133,4565,0.25596740776851157,0.03597855041175549,0.039739192506572416
Michigan,113949,25940,7085,2662,0.22764570114700436,0.06217693880595705,0.02336132831354378
Connecticut,108935,9830,35418,354,0.09023729747096892,0.32512966447881764,0.003249644283288199
Missouri,96205,29488,190,2130,0.3065121355438907,0.0019749493269580584,0.02214022140221402
Arizona,90632,17590,5578,1531,0.19408156059669873,0.06154559096124989,0.016892488304351663
Tennessee,79556,17526,1676,1391,0.22029765196842477,0.02106692141384685,0.017484539192518477
Colorado,74565,15086,1184,1322,0.20232012338228392,0.015878763494937304,0.017729497753637767
Nevada,69389,12306,1673,833,0.1773479946389197,0.024110449783106832,0.01200478462004064
Oregon,63351,12512,1874,890,0.19750280185001026,0.029581222080156587,0.014048712727502329
Louisiana,59921,15568,1122,1433,0.2598087481851104,0.018724654127935114,0.023914821181221943
Indiana,56346,14201,467,1724,0.25203208745962447,0.008288077237070954,0.030596670571114187
Minnesota,48601,10206,130,5259,0.20999567910125305,0.0026748420814386533,0.10820765004835292
South Carolina,48280,10534,199,506,0.21818558409279204,0.00412178956089478,0.01048053024026512
Kentucky,47929,12932,1260,710,0.269815769158547,0.026288885643347453,0.014813578418076739
Oklahoma,47369,7858,6898,1934,0.16588908357786739,0.14562266461187698,0.040828389875234856
Wisconsin,46466,10790,7425,886,0.23221280075754314,0.1597942581672621,0.019067705419016055
Kansas,42439,12267,28,2568,0.2890501661207851,0.0006597704941209736,0.06051037960366644
Iowa,40626,13287,34,1469,0.3270565647614828,0.0008369024762467385,0.03615910992960173
Alabama,38959,9170,170,613,0.23537565132575272,0.004363561693061937,0.015734490104982162
District of Columbia,34638,6104,1220,230,0.1762226456492869,0.03522143310814712,0.006640106241699867
Nebraska,34247,11761,41,1773,0.3434169416299238,0.0011971851549040793,0.0517709580401203
New Mexico,29840,8035,418,1383,0.26926943699731903,0.01400804289544236,0.04634718498659517
Utah,24255,3926,6,973,0.16186353329210473,0.0002473716759431045,0.04011544011544012
Montana,21774,6535,8,943,0.30012859373564804,0.0003674106732800588,0.04330853311288693
Idaho,18578,4516,33,384,0.24308321670793412,0.0017762945419313165,0.020669609215200776
Mississippi,18306,4966,71,817,0.2712771768818966,0.003878509778214793,0.04463017589861248
New Hampshire,18102,4056,6,1258,0.22406363937686444,0.00033145508783559825,0.0694950834161971
Delaware,17875,4555,1122,214,0.2548251748251748,0.06276923076923077,0.011972027972027972
West Virginia,16913,7149,8,931,0.4226926033228877,0.00047300892804351684,0.05504641400106427
Vermont,16895,5952,4,226,0.3522935779816514,0.00023675643681562593,0.013376738680082864
Arkansas,16626,3328,54,885,0.20016841092265128,0.003247924936845904,0.053229880909418985
Maine,12864,2368,0,500,0.18407960199004975,0.0,0.038868159203980096
Rhode Island,12545,2555,21,156,0.20366679952172181,0.0016739736946990832,0.012435233160621761
Wyoming,12159,3603,12,2301,0.29632371083148284,0.0009869232667160128,0.18924253639279545
North Dakota,10948,3804,1,684,0.3474607234198027,9.134088417975886e-05,0.06247716477895506
South Dakota,6577,749,0,607,0.11388170898585981,0.0,0.09229131823019614
Hawaii,2158,181,0,97,0.08387395736793327,0.0,0.04494902687673772
Puerto Rico,481,51,0,113,0.10602910602910603,0.0,0.23492723492723494
Alaska,347,60,0,34,0.1729106628242075,0.0,0.09798270893371758
